week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
23-Jul-22,usa,15.80%,27.60%,1,2.90%,-9.70%,-1.00%,90.40%,3.00%
16-Jul-22,usa,17.10%,26.60%,0,0.00%,-7.80%,-0.80%,92.50%,3.00%
9-Jul-22,usa,17.40%,25.50%,-1,-3.00%,-11.70%,-1.10%,94.90%,2.60%
2-Jul-22,usa,17.60%,27.20%,-4,-11.10%,0.90%,0.00%,96.80%,2.60%
25-Jun-22,usa,18.20%,22.70%,-2,-6.10%,0.10%,0.00%,97.40%,2.60%
18-Jun-22,usa,18.20%,18.60%,-2,-6.10%,-1.40%,0.10%,110.40%,2.80%
11-Jun-22,usa,18.20%,14.40%,-2,-6.30%,-3.20%,0.10%,83.80%,2.20%
4-Jun-22,usa,16.90%,12.50%,-3,-9.10%,-1.90%,0.20%,80.00%,1.80%
28-May-22,usa,17.00%,10.20%,-5,-14.30%,-2.00%,0.20%,70.10%,1.60%
21-May-22,usa,15.80%,7.90%,-5,-15.20%,6.70%,1.20%,70.30%,1.60%
14-May-22,usa,14.80%,4.20%,-4,-12.10%,2.00%,0.90%,56.90%,1.30%
7-May-22,usa,14.50%,-0.60%,-6,-16.70%,0.70%,0.90%,52.10%,1.20%
30-Apr-22,usa,13.30%,-4.20%,-7,-18.90%,0.00%,1.00%,39.00%,1.00%
23-Apr-22,usa,14.00%,-6.50%,-7,-18.90%,2.70%,1.40%,23.90%,0.70%
16-Apr-22,usa,13.40%,-13.50%,-6,-16.20%,-14.20%,-0.20%,8.40%,0.40%
9-Apr-22,usa,12.70%,-13.00%,-7,-18.90%,0.00%,1.20%,13.20%,0.50%
2-Apr-22,usa,13.40%,-13.20%,-10,-23.80%,8.50%,2.00%,13.10%,0.40%
26-Mar-22,usa,11.30%,-17.30%,-10,-23.80%,-2.80%,1.10%,-3.10%,0.20%
19-Mar-22,usa,12.80%,-18.90%,-11,-25.00%,-5.60%,0.90%,-5.10%,0.20%
12-Mar-22,usa,14.00%,-20.40%,-11,-24.40%,-5.30%,0.90%,-9.20%,0.10%
5-Mar-22,usa,14.50%,-21.80%,-10,-21.30%,-1.20%,1.50%,-17.10%,-0.10%
26-Feb-22,usa,12.40%,-23.30%,-12,-24.00%,-8.50%,0.60%,-16.20%,0.00%
19-Feb-22,usa,11.70%,-24.10%,-14,-26.40%,14.00%,2.50%,-3.20%,0.20%
12-Feb-22,usa,11.80%,-26.70%,-16,-27.60%,-0.70%,1.50%,-18.90%,-0.10%
5-Feb-22,usa,11.80%,-27.80%,-9,-14.80%,-7.90%,1.00%,-28.20%,-0.30%
29-Jan-22,usa,11.90%,-28.30%,-10,-15.60%,-10.90%,0.70%,-28.90%,-0.30%
22-Jan-22,usa,11.60%,-29.20%,-9,-13.60%,-10.70%,0.70%,-29.60%,-0.30%
15-Jan-22,usa,10.40%,-29.10%,-7,-10.60%,-10.60%,0.80%,-31.30%,-0.40%
8-Jan-22,usa,10.70%,-29.10%,-8,-11.80%,-14.70%,0.40%,-31.00%,-0.40%
1-Jan-22,usa,10.50%,-29.40%,-8,-11.40%,-6.50%,0.60%,-28.50%,-0.20%
25-Dec-21,usa,9.40%,-29.40%,-8,-12.10%,-4.30%,0.60%,-12.10%,0.10%
18-Dec-21,usa,9.90%,-27.60%,-8,-12.90%,-8.10%,0.60%,-18.20%,0.00%
11-Dec-21,usa,9.60%,-26.90%,-9,-14.80%,-7.20%,0.70%,-23.40%,-0.20%
4-Dec-21,usa,9.10%,-26.10%,-9,-14.80%,-3.10%,1.00%,-22.20%,-0.20%
27-Nov-21,usa,8.80%,-26.90%,-7,-12.10%,-12.40%,0.20%,-24.40%,-0.20%
20-Nov-21,usa,9.70%,-25.50%,-8,-14.50%,-13.50%,0.20%,-21.10%,-0.20%
13-Nov-21,usa,9.00%,-24.70%,-8,-15.10%,2.50%,1.30%,-19.50%,-0.20%
6-Nov-21,usa,8.70%,-24.20%,-7,-13.50%,4.50%,1.60%,-9.70%,0.20%
30-Oct-21,usa,8.70%,-23.60%,-7,-13.50%,-3.00%,1.00%,-10.30%,0.20%
23-Oct-21,usa,7.40%,-23.00%,-8,-15.70%,-7.70%,0.70%,-14.20%,0.00%
16-Oct-21,usa,7.40%,-22.90%,-7,-14.00%,-5.70%,0.80%,-11.40%,0.10%
9-Oct-21,usa,7.40%,-23.00%,-7,-14.00%,-7.20%,0.80%,-12.90%,0.10%
2-Oct-21,usa,7.40%,-22.90%,-8,-15.70%,-26.90%,-1.20%,-6.50%,0.40%
25-Sep-21,usa,7.40%,-22.60%,-8,-16.00%,-8.00%,0.50%,-4.80%,0.30%
18-Sep-21,usa,7.40%,-22.40%,-10,-20.00%,-7.50%,0.50%,-4.90%,0.30%
11-Sep-21,usa,7.40%,-22.90%,-11,-22.00%,-1.00%,1.00%,-7.90%,0.20%
4-Sep-21,usa,7.90%,-24.40%,-11,-21.60%,-6.60%,0.60%,-9.90%,0.10%
28-Aug-21,usa,7.40%,-24.40%,-13,-25.50%,-2.50%,0.90%,-8.70%,0.20%
21-Aug-21,usa,7.40%,-25.20%,-14,-27.50%,-2.20%,1.00%,-8.60%,0.20%
14-Aug-21,usa,7.40%,-26.50%,-14,-28.00%,0.50%,1.30%,-8.90%,0.20%
7-Aug-21,usa,8.60%,-27.60%,-15,-29.40%,4.60%,1.70%,-12.60%,0.00%
31-Jul-21,usa,9.90%,-29.50%,-16,-30.80%,4.60%,1.70%,-12.20%,0.10%
24-Jul-21,usa,10.00%,-31.20%,-17,-32.70%,2.90%,1.70%,-18.50%,-0.10%
17-Jul-21,usa,9.90%,-33.20%,-18,-34.60%,8.10%,2.30%,-24.00%,-0.40%
10-Jul-21,usa,10.10%,-35.60%,-20,-37.70%,0.50%,1.70%,-36.30%,-0.80%
3-Jul-21,usa,11.20%,-39.20%,-21,-36.80%,2.30%,1.90%,-29.40%,-0.40%
26-Jun-21,usa,11.80%,-39.70%,-24,-42.10%,12.70%,2.80%,-37.30%,-0.90%
19-Jun-21,usa,11.80%,-42.50%,-26,-44.10%,9.20%,2.60%,-42.60%,-1.10%
